iter	Passed	Remaining
921	137434	11626
922	137559	11475
923	137702	11326
924	137868	11178
925	137991	11027
926	138127	10877
927	138265	10727
928	138395	10577
929	138526	10426
930	138650	10275
931	138823	10128
932	139037	9984
933	139187	9835
934	139338	9686
935	139466	9536
936	139600	9386
937	139728	9235
938	139859	9085
939	140017	8937
940	140151	8787
941	140288	8637
942	140427	8488
943	140552	8337
944	140686	8188
945	140828	8038
946	141002	7891
947	141166	7743
948	141298	7593
949	141444	7444
950	141569	7294
951	141695	7144
952	141825	6994
953	141973	6845
954	142114	6696
955	142234	6546
956	142399	6398
957	142534	6248
958	142659	6099
959	142782	5949
960	142926	5800
961	143085	5652
962	143211	5502
963	143348	5353
964	143472	5203
965	143609	5054
966	143736	4905
967	143871	4756
968	143997	4606
969	144149	4458
970	144282	4309
971	144410	4159
972	144545	4011
973	144685	3862
974	144820	3713
975	144951	3564
976	145124	3416
977	145260	3267
978	145406	3119
979	145538	2970
980	145683	2821
981	145808	2672
982	145948	2524
983	146083	2375
984	146243	2227
985	146372	2078
986	146499	1929
987	146642	1781
988	146769	1632
989	146905	1483
990	147035	1335
991	147192	1187
992	147330	1038
993	147456	890
994	147593	741
995	147730	593
996	147875	444
997	148007	296
998	148146	148
999	148318	0
